nom_entreprise,domaine_activite,date_creation,forme_juridique,ville_siege,effectif,annee_effectif,capital,sites_internet,chiffre_affaires,resultat,annee_finances
COMSOL FRANCE,Édition,2001-11-23,"SAS, société par actions simplifiée",GRENOBLE,Entre 20 et 49 salariés,2022,100000,comsol.fr,8668997,1534624,2024
AGAPIO,Édition,2019-12-13,"SAS, société par actions simplifiée",LYON,Entre 10 et 19 salariés,2022,1321.8,,,-1473,2020
SENSINOV,Édition,2016-04-01,"SAS, société par actions simplifiée",LABEGE,Entre 10 et 19 salariés,2022,118562.94,sensinov.com,,347045,2023
IOTEROP,Édition,2016-10-01,"SAS, société par actions simplifiée",MONTPELLIER,Entre 20 et 49 salariés,2022,120665.2,ioterop.com,146687,-98759,2019
ENERGIENCY,Édition,2013-04-08,SA à conseil d'administration (s.a.i.),RENNES,Entre 20 et 49 salariés,2022,284116,energiency.com,,-428286,2023
G.A.U.M. GEB ADOPTAGUY,Édition,2009-10-01,"SARL, société à responsabilité limitée",PARIS,Entre 20 et 49 salariés,2022,2510000,,,,
LOGAL SYSTEMES,Édition,1996-08-01,"SAS, société par actions simplifiée",SAINT-MAUR-DES-FOSSES,Entre 10 et 19 salariés,2022,100000,logal.fr,,124149,2024
FINALLI,Édition,2016-02-26,"SAS, société par actions simplifiée",BORDEAUX,Entre 10 et 19 salariés,2022,263345.4,self-and-innov.fr,2250177,-56843,2024
SWAVEN,Édition,2012-11-14,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,217551,swaven.fr,,-933362,2025
IMMOLEAD,Édition,2007-01-01,"SARL, société à responsabilité limitée",NEUILLY-SUR-SEINE,Entre 20 et 49 salariés,2022,,,,,
COQLIQO,Édition,2009-04-23,"SAS, société par actions simplifiée",LILLE,Entre 20 et 49 salariés,2022,1500000,coqliqo.com,,419337,2023
LEGIE,Édition,2002-09-01,"SAS, société par actions simplifiée",CHATENOY-LE-ROYAL,Entre 10 et 19 salariés,2022,550900,,1229576,9324,2024
EXACTCURE,Édition,2018-01-02,"SAS, société par actions simplifiée",NICE,Entre 20 et 49 salariés,2022,27703.1,exactcure.com,,-589786,2023
MEDIA SOFTS,Édition,1992-10-02,"SAS, société par actions simplifiée",VIGNEUX-DE-BRETAGNE,Entre 20 et 49 salariés,2022,200000,"mediasofts.fr, bati-com.fr, metalusoft.fr, jardisoft.fr",,377443,2023
EMERALD VISION SA,Édition,2008-03-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,428797.93,,,-427726,2024
KWIT,Édition,2016-04-01,"SAS, société par actions simplifiée",STRASBOURG,Entre 10 et 19 salariés,2022,54210,kwit.app,,-171275,2023
SEEDTAG ADVERTISING SL,Édition,2016-04-07,Société commerciale étrangère immatriculée au RCS,28004 MADRID,Entre 10 et 19 salariés,2022,5737.42,,72564668,-10134872,2022
BIOSYSTEMES,Édition,1985-02-22,"SAS, société par actions simplifiée",COUTERNON,Entre 10 et 19 salariés,2022,52500,"biosystemes.com, biosystem.com",1391460,351316,2024
PROCSEA FRANCE,Édition,2016-05-23,"SASU, société par actions simplifiée unipersonnelle",RENNES,Entre 20 et 49 salariés,2022,1344560,klarys.io,,105437,2018
DELPHA,Édition,2020-01-09,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,47611,,,,
IT-DEVELOPMENT,Édition,2010-05-21,"SAS, société par actions simplifiée",LA TOUR-DE-SALVAGNY,Entre 20 et 49 salariés,2022,125000,it-development.com,,205703,2023
AVATAR MEDICAL,Édition,2020-07-04,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,55336.4,avatarmedical.ai,,,
OXLIN,Édition,2017-11-08,"SASU, société par actions simplifiée unipersonnelle",AIX-EN-PROVENCE,Entre 20 et 49 salariés,2022,1531680,"linxoconnect.fr, oxlin.io",5420794,-1648319,2024
DQE-SOFTWARE,Édition,2008-05-13,"SAS, société par actions simplifiée",LEVALLOIS-PERRET,Entre 20 et 49 salariés,2022,258139,dqe.tech,4905768,303294,2019
GESTEAM,Édition,1992-01-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,7840,gesteam.com,,240492,2023
SYMBIOZ,Édition,2015-11-18,"SAS, société par actions simplifiée",TOULOUSE,Entre 10 et 19 salariés,2022,10000,symbioz.io,663683,12265,2021
ARKIANE,Édition,1993-07-01,"SASU, société par actions simplifiée unipersonnelle",GRENOBLE,Entre 10 et 19 salariés,2022,45000,arkiane.com,,99280,2024
SINARI TMS PRO,Édition,1977-10-25,"SAS, société par actions simplifiée",CESSON-SEVIGNE,Entre 20 et 49 salariés,2022,594000,cofisoft.fr,,89166,2022
LSA LOGIN SA,Édition,1988-03-30,"SAS, société par actions simplifiée",COURBEVOIE,Entre 10 et 19 salariés,2022,200000,,4178986,1015232,2024
STREAMLANE,Édition,2020-11-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,991.4,,,-797903,2023
ANONYMIZE,Édition,2020-01-28,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,1232.66,,,,
APPIAN FRANCE SARL,Édition,2012-03-01,"SARL, société à responsabilité limitée",BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,1,appian.com,5387329,71890,2024
LEX PERSONA,Édition,2005-02-07,"SAS, société par actions simplifiée",SAINT-ANDRE-LES-VERGERS,Entre 20 et 49 salariés,2022,26739,"lex.community, goodflag.com",4031487,-289148,2023
LOG SYSTEM,Édition,1986-03-01,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,250000,logsystem.fr,,14990,2023
CUSTY,Édition,2003-05-01,"SAS, société par actions simplifiée",STRASBOURG,Entre 20 et 49 salariés,2022,70900,custy.com,4204705,312132,2022
XCO ANALYTICS,Édition,2013-07-12,"SAS, société par actions simplifiée",NEUILLY-SUR-SEINE,Entre 10 et 19 salariés,2022,239850,opnf.fr,1052236,-1414713,2021
SCIA FRANCE SARL,Édition,1990-02-01,"EURL, entreprise unipersonnelle à responsabilité limitée",LILLE,Entre 10 et 19 salariés,2022,22500,,,81103,2023
ONAYA,Édition,2002-12-16,"SASU, société par actions simplifiée unipersonnelle",MERIGNAC,Entre 20 et 49 salariés,2022,206520,onaya.com,6693199,1666530,2023
MEDITECT,Édition,2018-03-20,"SAS, société par actions simplifiée",BORDEAUX,Entre 10 et 19 salariés,2022,56767.2,meditect.com,,-151867,2023
ISOTROPIX,Édition,2011-04-14,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 10 et 19 salariés,2022,14946,,,8221741,2023
FIVES PROSIM,Édition,1989-04-13,"SASU, société par actions simplifiée unipersonnelle",LABEGE,Entre 20 et 49 salariés,2022,147800,prosim.net,2817220,537411,2024
IDECSI,Édition,2011-07-01,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,291000,idecsi.com,2703274,-3988,2019
TEACH UP,Édition,2018-11-29,"SASU, société par actions simplifiée unipersonnelle",LYON,Entre 10 et 19 salariés,2022,80000,teachup.com,1879184,-574029,2024
IN SYSTEM,Édition,1993-12-22,"SARL, société à responsabilité limitée",PARIS,Entre 10 et 19 salariés,2022,15245,insystem.fr,,,
OPENCELL,Édition,2015-03-01,"SAS, société par actions simplifiée",DIJON,Entre 20 et 49 salariés,2022,30918,opencellsoft.com,,,
BUGALI,Édition,2019-09-25,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,9820.16,,,-1726583,2022
JARVIS,Édition,2013-01-30,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,92000,jarvis-legal.com,1347139,34827,2023
FURIOUS,Édition,2019-11-04,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,100000,furious-squad.com,,,
NAMIRIAL,Édition,2004-04-01,"SAS, société par actions simplifiée",MONTPELLIER,Entre 20 et 49 salariés,2022,185279.89,namirial.com,,1189692,2024
SONARSOURCE FRANCE,Édition,2011-03-01,"SARL, société à responsabilité limitée",ANNECY,Entre 20 et 49 salariés,2022,7500,,,224702,2023
GUTENBERG TECHNOLOGY,Édition,2010-01-22,"SAS, société par actions simplifiée",MONTREUIL,Entre 20 et 49 salariés,2022,1145122.02,gutenberg-technology.com,,394048,2024
HINFACT,Édition,2018-10-09,"SAS, société par actions simplifiée",TOULOUSE,Entre 20 et 49 salariés,2022,26489,hinfact.com,,4631,2023
WEBINAGE,Édition,2010-10-25,"SAS, société par actions simplifiée",NEUFCHATEL-HARDELOT,Entre 10 et 19 salariés,2022,55420,webinage.fr,1782999,397335,2022
